"","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16"
"L1",9,0,0,0,0,0,0,0,0,0,0,0,4.95,0,0,0
"L2",0,4.41,0,0,0,0,8.67405,0,0,0,0,0,0,0,0,8.19
"L3",0,0,2.7225,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4",0,0,0,3.24,0,0,0,0,5.42034,0,0,0,0,0,0.54,0
"L5",0,0,0,0,0.5625,0,0,0,0,2.3625,0,0,0,0,0,0
"L6",0,0,0,0,0,3.8025,0,0,0,0,0,0,0,4.91088,0,0
"L7",0,8.67405,0,0,0,0,19.5590105,0.9483,0,0,0,3.31905,0,0,0,16.10895
"L8",0,0,0,0,0,0,0.9483,0.36,0,0,0,1.26,0,0,0,0
"L9",0,0,0,5.42034,0,0,0,0,9.06792769,0,0,0,0,0,0.90339,0
"L10",0,0,0,0,2.3625,0,0,0,0,9.9225,0,0,0,0,0,0
"L11",0,0,0,0,0,0,0,0,0,0,5.76,0,0,0,0,0
"L12",0,0,0,0,0,0,3.31905,1.26,0,0,0,4.41,0,0,0,0
"L13",4.95,0,0,0,0,0,0,0,0,0,0,0,2.7225,0,0,0
"L14",0,0,0,0,0,4.91088,0,0,0,0,0,0,0,6.34233856,0,0
"L15",0,0,0,0.54,0,0,0,0,0.90339,0,0,0,0,0,0.09,0
"L16",0,8.19,0,0,0,0,16.10895,0,0,0,0,0,0,0,0,15.21
