"","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16"
"L1",11.46296449,0,0,0,0,0,0,0,0,0,0,0,6.08613432,0,0,0
"L2",0,5.4756,0,0,0,0,7.320924,0,0,0,0,0,0,0,0,5.716386
"L3",0,0,2.71458576,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4",0,0,0,3.24,0,0,0,0,4.66722,0,0,0,0,0,0.38574,0
"L5",0,0,0,0,0.49999041,0,0,0,0,1.95463653,0,0,0,0,0,0
"L6",0,0,0,0,0,3.8025,0,0,0,0,0,0,0,4.128345,0,0
"L7",0,7.320924,0,0,0,0,10.26921892,0.35671848,0,0,0,1.45656,0,0,0,7.64285694
"L8",0,0,0,0,0,0,0.35671848,0.26450449,0,0,0,1.08003,0,0,0,0
"L9",0,0,0,4.66722,0,0,0,0,6.72313041,0,0,0,0,0,0.55565847,0
"L10",0,0,0,0,1.95463653,0,0,0,0,7.64135449,0,0,0,0,0,0
"L11",0,0,0,0,0,0,0,0,0,0,5.19429681,0,0,0,0,0
"L12",0,0,0,0,0,0,1.45656,1.08003,0,0,0,4.41,0,0,0,0
"L13",6.08613432,0,0,0,0,0,0,0,0,0,0,0,3.23136576,0,0,0
"L14",0,0,0,0,0,4.128345,0,0,0,0,0,0,0,4.48211241,0,0
"L15",0,0,0,0.38574,0,0,0,0,0.55565847,0,0,0,0,0,0.04592449,0
"L16",0,5.716386,0,0,0,0,7.64285694,0,0,0,0,0,0,0,0,5.96776041
