"","H1","H2","H3","H4","H5","H6","H7","H8"
"H1",13.92517525,0,0,0,0,0,0,0
"H2",0,6.92531856,0,0,0,0,0,0
"H3",0,0,2.81434176,0,0,0,0,0
"H4",0,0,0,14.65279025,0,0,0,10.37466456
"H5",0,0,0,0,16.96867838,0,0,0
"H6",0,0,0,0,0,14.220034,0,0
"H7",0,0,0,0,0,0,10.892473,0
"H8",0,0,0,10.37466456,0,0,0,43.23794472
