"","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16"
"L1",7.29,0,0,0,0,0,0,0,0,0,0,0,3.645,0,0,0
"L2",0,3.24,0,0,0,0,4.86,0,0,0,0,0,0,0,0,3.24
"L3",0,0,1.8225,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4",0,0,0,0.81,0,0,0,0,2.025,0,0,0,0,0,0,0
"L5",0,0,0,0,0.2025,0,0,0,0,1.0125,0,0,0,0,0,0
"L6",0,0,0,0,0,1.8225,0,0,0,0,0,0,0,2.43,0,0
"L7",0,4.86,0,0,0,0,7.4925,0,0,0,0,0.81,0,0,0,4.86
"L8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L9",0,0,0,2.025,0,0,0,0,5.0625,0,0,0,0,0,0,0
"L10",0,0,0,0,1.0125,0,0,0,0,5.0625,0,0,0,0,0,0
"L11",0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0
"L12",0,0,0,0,0,0,0.81,0,0,0,0,3.24,0,0,0,0
"L13",3.645,0,0,0,0,0,0,0,0,0,0,0,1.8225,0,0,0
"L14",0,0,0,0,0,2.43,0,0,0,0,0,0,0,3.24,0,0
"L15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L16",0,3.24,0,0,0,0,4.86,0,0,0,0,0,0,0,0,3.24
