"","H1","H2","H3","H4","H5","H6","H7","H8"
"H1",9.1125,0,0,0,0,0,0,0
"H2",0,3.24,0,0,0,0,0,0
"H3",0,0,1.8225,0,0,0,0,0
"H4",0,0,0,3.4425,0,0,0,1.215
"H5",0,0,0,0,5.8725,0,0,0
"H6",0,0,0,0,0,5.265,0,0
"H7",0,0,0,0,0,0,5.0625,0
"H8",0,0,0,1.215,0,0,0,13.77
