"","H1","H2","H3","H4","H5","H6","H7","H8"
"H1",24.57811525,0,0,0,0,0,0,0
"H2",0,12.47219856,0,0,0,0,0,0
"H3",0,0,6.64402176,0,0,0,0,0
"H4",0,0,0,17.79685025,0,0,0,9.34641456
"H5",0,0,0,0,26.65047338,0,0,0
"H6",0,0,0,0,0,21.164074,0,0
"H7",0,0,0,0,0,0,19.444048,0
"H8",0,0,0,9.34641456,0,0,0,52.27538472
