"","H1","H2","H3","H4","H5","H6","H7","H8"
"H1",17.98431025,0,0,0,0,0,0,0
"H2",0,8.28921681,0,0,0,0,0,0
"H3",0,0,3.79314576,0,0,0,0,0
"H4",0,0,0,10.3290053,0,0,0,8.31625431
"H5",0,0,0,0,18.80516213,0,0,0
"H6",0,0,0,0,0,14.4413449,0,0
"H7",0,0,0,0,0,0,14.54256025,0
"H8",0,0,0,8.31625431,0,0,0,48.39293322
