"","H1","H2","H3","H4","H5","H6","H7","H8"
"H1",17.132625,0,0,0,0,0,0,0
"H2",0,9.31775625,0,0,0,0,0,0
"H3",0,0,5.1984,0,0,0,0,0
"H4",0,0,0,15.256288,0,0,0,10.366744
"H5",0,0,0,0,20.17449694,0,0,0
"H6",0,0,0,0,0,16.2334485,0,0
"H7",0,0,0,0,0,0,15.50675281,0
"H8",0,0,0,10.366744,0,0,0,51.63052525
