"","H1","H2","H3","H4","H5","H6","H7","H8"
"H1",11.7225,0,0,0,0,0,0,0
"H2",0,5.76,0,0,0,0,0,0
"H3",0,0,2.7225,0,0,0,0,0
"H4",0,0,0,7.26798025,0,0,0,6.52825525
"H5",0,0,0,0,12.39792769,0,0,0
"H6",0,0,0,0,0,10.485,0,0
"H7",0,0,0,0,0,0,10.14483856,0
"H8",0,0,0,6.52825525,0,0,0,36.68103025
