"","H1","H2","H3","H4","H5","H6","H7","H8"
"H1",14.69433025,0,0,0,0,0,0,0
"H2",0,5.19429681,0,0,0,0,0,0
"H3",0,0,2.71458576,0,0,0,0,0
"H4",0,0,0,6.9973853,0,0,0,6.03406431
"H5",0,0,0,0,12.61406213,0,0,0
"H6",0,0,0,0,0,8.1413449,0,0
"H7",0,0,0,0,0,0,10.23126025,0
"H8",0,0,0,6.03406431,0,0,0,39.15227322
