"","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16"
"L1",11.46296449,0,0,0,0,0,0,0,0,0,0,0,6.08613432,0,0,0
"L2",0,5.4756,0,0,0,0,9.264294,0,0,0,0,0,0,0,0,9.928386
"L3",0,0,2.71458576,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4",0,0,0,3.24,0,0,0,0,5.49756,0,0,0,0,0,0.38574,0
"L5",0,0,0,0,0.49999041,0,0,0,0,1.95463653,0,0,0,0,0,0
"L6",0,0,0,0,0,3.8025,0,0,0,0,0,0,0,4.944225,0,0
"L7",0,9.264294,0,0,0,0,17.99735362,0.78384463,0,0,0,3.20061,0,0,0,16.79806539
"L8",0,0,0,0,0,0,0.78384463,0.26450449,0,0,0,1.08003,0,0,0,0
"L9",0,0,0,5.49756,0,0,0,0,9.32813764,0,0,0,0,0,0.65451506,0
"L10",0,0,0,0,1.95463653,0,0,0,0,7.64135449,0,0,0,0,0,0
"L11",0,0,0,0,0,0,0,0,0,0,5.19429681,0,0,0,0,0
"L12",0,0,0,0,0,0,3.20061,1.08003,0,0,0,4.41,0,0,0,0
"L13",6.08613432,0,0,0,0,0,0,0,0,0,0,0,3.23136576,0,0,0
"L14",0,0,0,0,0,4.944225,0,0,0,0,0,0,0,6.42876025,0,0
"L15",0,0,0,0.38574,0,0,0,0,0.65451506,0,0,0,0,0,0.04592449,0
"L16",0,9.928386,0,0,0,0,16.79806539,0,0,0,0,0,0,0,0,18.00220041
