"","H1","H2","H3","H4","H5","H6","H7","H8"
"H1",1.62,0,0,0,0,0,0,0
"H2",0,0.81,0,0,0,0,0,0
"H3",0,0,0.81,0,0,0,0,0
"H4",0,0,0,0.81,0,0,0,0
"H5",0,0,0,0,1.62,0,0,0
"H6",0,0,0,0,0,0.81,0,0
"H7",0,0,0,0,0,0,1.62,0
"H8",0,0,0,0,0,0,0,2.43
