"","H1","H2","H3","H4","H5","H6","H7","H8"
"H1",17.98431025,0,0,0,0,0,0,0
"H2",0,8.28921681,0,0,0,0,0,0
"H3",0,0,3.79314576,0,0,0,0,0
"H4",0,0,0,7.98890545,0,0,0,3.70473696
"H5",0,0,0,0,15.9233749,0,0,0
"H6",0,0,0,0,0,14.4413449,0,0
"H7",0,0,0,0,0,0,12.34487241,0
"H8",0,0,0,3.70473696,0,0,0,28.39555837
