"","H1","H2","H3","H4","H5","H6","H7","H8"
"H1",20.66713525,0,0,0,0,0,0,0
"H2",0,8.59427856,0,0,0,0,0,0
"H3",0,0,5.18746176,0,0,0,0,0
"H4",0,0,0,14.81227025,0,0,0,9.73416456
"H5",0,0,0,0,20.29813838,0,0,0
"H6",0,0,0,0,0,13.341274,0,0
"H7",0,0,0,0,0,0,15.610873,0
"H8",0,0,0,9.73416456,0,0,0,54.71438472
