"","H1","H2","H3","H4","H5","H6","H7","H8"
"H1",24.57811525,0,0,0,0,0,0,0
"H2",0,12.47219856,0,0,0,0,0,0
"H3",0,0,6.64402176,0,0,0,0,0
"H4",0,0,0,16.4336329,0,0,0,6.94252971
"H5",0,0,0,0,24.92971315,0,0,0
"H6",0,0,0,0,0,21.164074,0,0
"H7",0,0,0,0,0,0,18.27154116,0
"H8",0,0,0,6.94252971,0,0,0,41.66611237
