"","H1","H2","H3","H4","H5","H6","H7","H8"
"H1",0,0,0,0,0,0,0,0
"H2",0,0,0,0,0,0,0,0
"H3",0,0,0,0,0,0,0,0
"H4",0,0,0,0.14478025,0,0,0,0.14478025
"H5",0,0,0,0,0.05583769,0,0,0
"H6",0,0,0,0,0,0,0,0
"H7",0,0,0,0,0,0,0.03740356,0
"H8",0,0,0,0.14478025,0,0,0,0.95478025
